model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
rlm-tgt-01,with,25,attempt=1
pinn-tgt-03,without,50,attempt=1
rlm-tgt-02,with,45,attempt=1
pinn-dbg-03,with,74,attempt=1
rlm-chg-02,without,75,attempt=1
pinn-tgt-03,with,34,attempt=1
rlm-dbg-02,with,79,attempt=1
rlm-chg-01,without,90,attempt=1
pinn-tgt-01,without,100,attempt=1
rlm-tgt-02,without,58,attempt=1
rlm-exp-01,without,122,attempt=1
rlm-chg-02,with,47,attempt=1
rlm-dbg-02,without,53,attempt=1
rlm-exp-02,without,157,attempt=1
pinn-dbg-03,without,84,attempt=1
rlm-dbg-01,with,162,attempt=1
rlm-chg-01,with,80,attempt=1
rlm-tgt-03,without,192,attempt=1
pinn-tgt-01,with,101,attempt=1
pinn-dbg-02,without,206,attempt=1
pinn-exp-02,without,208,attempt=1
pinn-exp-03,without,211,attempt=1
pinn-tgt-02,with,216,attempt=1
rlm-exp-02,with,61,attempt=1
rlm-exp-01,with,97,attempt=1
rlm-tgt-03,with,29,attempt=1
rlm-tgt-01,without,210,attempt=1
rlm-exp-03,with,242,attempt=1
pinn-chg-03,without,248,attempt=1
rlm-dbg-01,without,88,attempt=1
pinn-exp-03,with,50,attempt=1
pinn-exp-01,without,266,attempt=1
rlm-chg-03,with,267,attempt=1
pinn-dbg-01,with,280,attempt=1
pinn-exp-02,with,107,attempt=1
pinn-dbg-01,without,53,attempt=1
pinn-tgt-02,without,119,attempt=1
pinn-chg-01,without,360,attempt=1
rlm-exp-03,without,127,attempt=1
pinn-chg-02,with,380,attempt=1
pinn-dbg-02,with,191,attempt=1
rlm-chg-03,without,138,attempt=1
pinn-chg-03,with,167,attempt=1
rlm-dbg-03,without,417,attempt=1
pinn-chg-01,with,81,attempt=1
pinn-exp-01,with,185,attempt=1
pinn-chg-02,without,98,attempt=1
rlm-dbg-03,with,403,attempt=1
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
pinn-tgt-02,with,17,attempt=1
rlm-tgt-01,without,33,attempt=1
pinn-exp-02,without,52,attempt=1
rlm-tgt-03,without,58,attempt=1
rlm-exp-03,with,68,attempt=1
pinn-exp-03,without,94,attempt=1
pinn-dbg-02,without,175,attempt=1
