model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
model_mapping,sonnet=glm-5,opus=glm-5
rlm-dbg-03,without,108,attempt=1
rlm-exp-01,without,115,attempt=1
rlm-tgt-02,without,116,attempt=1
rlm-chg-01,with,154,attempt=1
rlm-tgt-03,with,160,attempt=1
rlm-exp-02,with,160,attempt=1
rlm-tgt-01,with,161,attempt=1
rlm-chg-03,with,215,attempt=1
rlm-dbg-01,with,267,attempt=1
rlm-tgt-01,without,299,attempt=1
rlm-exp-02,without,302,attempt=1
rlm-tgt-03,without,341,attempt=1
rlm-exp-03,without,354,attempt=1
rlm-chg-03,without,133,attempt=2
rlm-tgt-02,with,187,attempt=2
rlm-chg-01,without,396,attempt=1
rlm-exp-03,with,400,attempt=1
rlm-dbg-03,with,161,attempt=2
rlm-chg-02,without,417,attempt=1
rlm-exp-01,with,418,attempt=1
rlm-chg-02,with,247,attempt=2
rlm-dbg-01,without,473,attempt=1
rlm-dbg-02,with,592,attempt=1
rlm-dbg-02,without,191,attempt=2
